file,nVertices,nFaces,position,aabbSize,angleX,angleY,angleZ,totalAngle,totalFlip
1.off,4706,9408,0.055671777576208115,1.9616791009902954,1.5686626434326172,1.5715112686157227,1.5382084846496582,4.678382396697998,-3
2.off,10050,20096,0.0008950860355980694,2.176365852355957,1.5885822772979736,1.5605624914169312,1.6471655368804932,4.7963104248046875,1
3.off,5641,11278,0.169870063662529,1.726517915725708,1.5961294174194336,1.5882747173309326,0.8236799836158752,4.008084297180176,1
4.off,5676,11348,0.17851030826568604,1.6981548070907593,1.667303204536438,1.6935040950775146,0.6491593718528748,4.009966850280762,1
5.off,15154,30308,0.04694736748933792,2.298523187637329,1.5431259870529175,1.5566571950912476,0.6553892493247986,3.7551724910736084,1
6.off,10098,20192,0.04393762722611427,1.8594939708709717,1.5762310028076172,1.5762379169464111,0.003774980315938592,3.1562438011169434,1
7.off,8441,16878,0.00438696937635541,1.979007601737976,1.5593098402023315,0.024484964087605476,1.5590606927871704,3.142855644226074,-1
8.off,11015,22026,0.0005140473367646337,2.1054317951202393,1.5853428840637207,0.8426752090454102,1.5543384552001953,3.982356548309326,1
9.off,2639,5274,0.003684164257720113,2.080474853515625,1.5863806009292603,0.9766854047775269,1.5573197603225708,4.120385646820068,1
10.off,9508,19012,0.005178926046937704,2.1943819522857666,1.5713406801223755,1.580802321434021,1.6027462482452393,4.754889488220215,-1
11.off,10999,21994,0.0060784537345170975,2.5247607231140137,1.567563772201538,1.5719468593597412,1.5941359996795654,4.733646392822266,-1
12.off,5614,11224,0.001033699605613947,2.5088367462158203,1.5724579095840454,1.5705431699752808,1.5389446020126343,4.68194580078125,-1
13.off,13703,27402,0.05607038736343384,2.2537262439727783,1.5596351623535156,1.5753939151763916,0.6856052875518799,3.820634365081787,-1
14.off,5691,11378,0.16629190742969513,1.948622226715088,2.0732269287109375,1.4237970113754272,2.29665470123291,5.7936787605285645,-1
15.off,5631,11258,0.1625114232301712,1.7957673072814941,1.5877153873443604,1.4719139337539673,2.7243831157684326,5.784012794494629,-3
16.off,15223,30450,0.012213998474180698,2.0637035369873047,1.8203957080841064,1.5636718273162842,0.7867608070373535,4.170828342437744,-1
17.off,15910,31816,0.03204050660133362,2.1144373416900635,1.3572365045547485,1.5913524627685547,2.4750986099243164,5.42368745803833,1
18.off,15385,30766,0.0424075648188591,2.173823356628418,1.8836486339569092,1.5555039644241333,2.330690383911133,5.769843101501465,3
19.off,15477,30950,0.026032704859972,2.273725986480713,1.533115267753601,1.5487526655197144,0.6755167245864868,3.757384777069092,-1
20.off,15700,31396,0.015590374357998371,2.230506658554077,1.5575554370880127,1.5692201852798462,0.6616460084915161,3.788421630859375,1
